04.02夕顔	OH_OO渋谷源氏	210	230	B	さて	扠	サテ	接続詞			サテ	和
04.02夕顔	OH_OO渋谷源氏	230	240	I	，	，		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	240	250	I	か	彼	カ	代名詞			カ	和
04.02夕顔	OH_OO渋谷源氏	250	260	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	260	280	I	空蝉	空蝉	ウツセミ	名詞-普通名詞-一般			ウツセミ	和
04.02夕顔	OH_OO渋谷源氏	280	290	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	290	340	I	あさましく	浅ましい	アサマシイ	形容詞-一般	文語形容詞-シク	連用形-一般	アサマシク	和
04.02夕顔	OH_OO渋谷源氏	340	380	I	つれなき	つれない	ツレナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ツレナキ	和
04.02夕顔	OH_OO渋谷源氏	380	390	I	を	を	ヲ	助詞-格助詞			オ	和
04.02夕顔	OH_OO渋谷源氏	390	400	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	400	410	I	こ	是	コ	代名詞			コ	和
04.02夕顔	OH_OO渋谷源氏	410	420	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	420	430	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
04.02夕顔	OH_OO渋谷源氏	430	440	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	440	450	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
04.02夕顔	OH_OO渋谷源氏	450	460	I	に	に	ニ	助詞-格助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	460	470	I	は	は	ハ	助詞-係助詞			ワ	和
04.02夕顔	OH_OO渋谷源氏	470	490	I	違ひ	違う	タガウ	動詞-一般	文語四段-ハ行	連用形-一般	タガイ	和
04.02夕顔	OH_OO渋谷源氏	490	500	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	500	520	I	思す	思す	オボス	動詞-一般	文語四段-サ行	連体形-一般	オボス	和
04.02夕顔	OH_OO渋谷源氏	520	530	I	に	に	ニ	助詞-接続助詞			ニ	和
