05.02若紫	OH_OO渋谷源氏	240	260	B	藤壺	藤壺	フジツボ	名詞-固有名詞-一般			フジツボ	固
05.02若紫	OH_OO渋谷源氏	260	270	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	270	280	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
05.02若紫	OH_OO渋谷源氏	280	290	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	290	310	I	悩み	悩む	ナヤム	動詞-一般	文語四段-マ行	連用形-一般	ナヤミ	和
05.02若紫	OH_OO渋谷源氏	310	340	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
05.02若紫	OH_OO渋谷源氏	340	360	I	こと	事	コト	名詞-普通名詞-一般			コト	和
05.02若紫	OH_OO渋谷源氏	360	380	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
05.02若紫	OH_OO渋谷源氏	380	390	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	390	400	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	400	430	I	まかで	罷出でる	マカデル	動詞-一般	文語下二段-ダ行	連用形-一般	マカデ	和
05.02若紫	OH_OO渋谷源氏	430	460	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
05.02若紫	OH_OO渋谷源氏	460	470	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
05.02若紫	OH_OO渋谷源氏	470	480	I	。	。		補助記号-句点				記号
05.02若紫	OH_OO渋谷源氏	480	490	B	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
05.02若紫	OH_OO渋谷源氏	490	500	I	の	の	ノ	助詞-格助詞			ノ	和
05.02若紫	OH_OO渋谷源氏	500	510	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	510	560	I	おぼつかな	覚束無い	オボツカナイ	形容詞-一般	文語形容詞-ク	語幹-一般	オボツカナ	和
05.02若紫	OH_OO渋谷源氏	560	580	I	がり	がる	ガル	接尾辞-動詞的	文語四段-ラ行	連用形-一般	ガリ	和
05.02若紫	OH_OO渋谷源氏	580	590	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	590	610	I	嘆き	嘆く	ナゲク	動詞-一般	文語四段-カ行	連用形-一般	ナゲキ	和
05.02若紫	OH_OO渋谷源氏	610	640	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
05.02若紫	OH_OO渋谷源氏	640	670	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
05.02若紫	OH_OO渋谷源氏	670	680	I	御	御	ミ	接頭辞			ミ	和
05.02若紫	OH_OO渋谷源氏	680	700	I	気色	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
05.02若紫	OH_OO渋谷源氏	700	710	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	710	720	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	720	740	I	いと	いと	イト	副詞			イト	和
05.02若紫	OH_OO渋谷源氏	740	790	I	いとほしう	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	イトーシュー	和
05.02若紫	OH_OO渋谷源氏	790	800	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
05.02若紫	OH_OO渋谷源氏	800	850	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
05.02若紫	OH_OO渋谷源氏	850	880	I	ながら	ながら	ナガラ	助詞-接続助詞			ナガラ	和
05.02若紫	OH_OO渋谷源氏	880	890	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	890	920	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
05.02若紫	OH_OO渋谷源氏	920	930	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
05.02若紫	OH_OO渋谷源氏	930	950	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
05.02若紫	OH_OO渋谷源氏	950	960	I	と	と	ト	助詞-格助詞			ト	和
05.02若紫	OH_OO渋谷源氏	960	970	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	970	980	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
05.02若紫	OH_OO渋谷源氏	980	990	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	990	1030	I	あくがれ	憧れる	アコガレル	動詞-一般	文語下二段-ラ行	連用形-一般	アクガレ	和
05.02若紫	OH_OO渋谷源氏	1030	1050	I	惑ひ	惑う	マドウ	動詞-一般	文語四段-ハ行	連用形-一般	マドイ	和
05.02若紫	OH_OO渋谷源氏	1050	1060	I	て	て	テ	助詞-接続助詞			テ	和
05.02若紫	OH_OO渋谷源氏	1060	1070	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1070	1090	I	何処	何処	イズコ	代名詞			イズコ	和
05.02若紫	OH_OO渋谷源氏	1090	1100	I	に	に	ニ	助詞-格助詞			ニ	和
05.02若紫	OH_OO渋谷源氏	1100	1110	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	1110	1130	I	何処	何処	イズコ	代名詞			イズコ	和
05.02若紫	OH_OO渋谷源氏	1130	1140	I	に	に	ニ	助詞-格助詞			ニ	和
05.02若紫	OH_OO渋谷源氏	1140	1150	I	も	も	モ	助詞-係助詞			モ	和
05.02若紫	OH_OO渋谷源氏	1150	1160	I	、	、		補助記号-読点				記号
05.02若紫	OH_OO渋谷源氏	1160	1190	I	まうで	詣でる	モウデル	動詞-一般	文語下二段-ダ行	連用形-一般	モーデ	和
