06.02末摘花	OH_OO渋谷源氏	320	340	B	二条	ニジョウ	ニジョウ	名詞-固有名詞-地名-一般			ニジョー	固
06.02末摘花	OH_OO渋谷源氏	340	350	I	院	院	イン	名詞-普通名詞-一般			イン	漢
06.02末摘花	OH_OO渋谷源氏	350	360	I	に	に	ニ	助詞-格助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	360	390	I	おはし	おわす	オワス	動詞-非自立可能	文語サ行変格	連用形-一般	オワシ	和
06.02末摘花	OH_OO渋谷源氏	390	410	I	たれ	たり	タリ	助動詞	文語助動詞-タリ-完了	已然形-一般	タレ	和
06.02末摘花	OH_OO渋谷源氏	410	420	I	ば	ば	バ	助詞-接続助詞			バ	和
06.02末摘花	OH_OO渋谷源氏	420	430	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	430	440	I	紫	紫	ムラサキ	名詞-普通名詞-一般			ムラサキ	和
06.02末摘花	OH_OO渋谷源氏	440	450	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	450	460	I	君	君	キミ	名詞-普通名詞-一般			キミ	和
06.02末摘花	OH_OO渋谷源氏	460	470	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	470	500	I	いとも	最も	イトモ	副詞			イトモ	和
06.02末摘花	OH_OO渋谷源氏	500	550	I	うつくしき	美しい	ウツクシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ウツクシキ	和
06.02末摘花	OH_OO渋谷源氏	550	580	I	片生ひ	片生い	カタオイ	名詞-普通名詞-形状詞可能			カタオイ	和
06.02末摘花	OH_OO渋谷源氏	580	590	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
06.02末摘花	OH_OO渋谷源氏	590	600	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	600	610	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	610	620	I	「	「		補助記号-括弧開				記号
06.02末摘花	OH_OO渋谷源氏	620	630	I	紅	紅	クレナイ	名詞-普通名詞-一般			クレナイ	和
06.02末摘花	OH_OO渋谷源氏	630	640	I	は	は	ハ	助詞-係助詞			ワ	和
06.02末摘花	OH_OO渋谷源氏	640	660	I	かう	斯く	カク	副詞			コー	和
06.02末摘花	OH_OO渋谷源氏	660	710	I	なつかしき	懐かしい	ナツカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ナツカシキ	和
06.02末摘花	OH_OO渋谷源氏	710	720	I	も	も	モ	助詞-係助詞			モ	和
06.02末摘花	OH_OO渋谷源氏	720	740	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
06.02末摘花	OH_OO渋谷源氏	740	760	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
06.02末摘花	OH_OO渋谷源氏	760	770	I	」	」		補助記号-括弧閉				記号
06.02末摘花	OH_OO渋谷源氏	770	780	I	と	と	ト	助詞-格助詞			ト	和
06.02末摘花	OH_OO渋谷源氏	780	810	I	見ゆる	見える	ミエル	動詞-一般	文語下二段-ヤ行	連体形-一般	ミユル	和
06.02末摘花	OH_OO渋谷源氏	810	820	I	に	に	ニ	助詞-接続助詞			ニ	和
06.02末摘花	OH_OO渋谷源氏	820	830	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	830	850	I	無紋	無文	ムモン	名詞-普通名詞-一般			ムモン	漢
06.02末摘花	OH_OO渋谷源氏	850	860	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	860	870	I	桜	桜	サクラ	名詞-普通名詞-一般			サクラ	和
06.02末摘花	OH_OO渋谷源氏	870	880	I	の	の	ノ	助詞-格助詞			ノ	和
06.02末摘花	OH_OO渋谷源氏	880	900	I	細長	細長	ホソナガ	名詞-普通名詞-一般			ホソナガ	和
06.02末摘花	OH_OO渋谷源氏	900	910	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	910	950	I	なよらか	なよらか	ナヨラカ	形状詞-一般			ナヨラカ	和
06.02末摘花	OH_OO渋谷源氏	950	960	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
06.02末摘花	OH_OO渋谷源氏	960	970	I	着	着る	キル	動詞-一般	文語上一段-カ行	連用形-一般	キ	和
06.02末摘花	OH_OO渋谷源氏	970	990	I	なし	成す	ナス	動詞-一般	文語四段-サ行	連用形-一般	ナシ	和
06.02末摘花	OH_OO渋谷源氏	990	1000	I	て	て	テ	助詞-接続助詞			テ	和
06.02末摘花	OH_OO渋谷源氏	1000	1010	I	、	、		補助記号-読点				記号
06.02末摘花	OH_OO渋谷源氏	1010	1030	I	何心	何心	ナニゴコロ	名詞-普通名詞-一般			ナニゴコロ	和
06.02末摘花	OH_OO渋谷源氏	1030	1040	I	も	も	モ	助詞-係助詞			モ	和
