09.03葵	OH_OO渋谷源氏	300	320	B	二条	ニジョウ	ニジョウ	名詞-固有名詞-地名-一般			ニジョー	固
09.03葵	OH_OO渋谷源氏	320	330	I	院	院	イン	名詞-普通名詞-一般			イン	漢
09.03葵	OH_OO渋谷源氏	330	340	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	340	350	I	は	は	ハ	助詞-係助詞			ワ	和
09.03葵	OH_OO渋谷源氏	350	360	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	360	380	I	方々	方々	カタガタ	名詞-普通名詞-一般			カタガタ	和
09.03葵	OH_OO渋谷源氏	380	400	I	払ひ	払う	ハラウ	動詞-一般	文語四段-ハ行	連用形-一般	ハライ	和
09.03葵	OH_OO渋谷源氏	400	430	I	みがき	磨く	ミガク	動詞-一般	文語四段-カ行	連用形-一般	ミガキ	和
09.03葵	OH_OO渋谷源氏	430	440	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	440	450	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	450	470	I	男女	男女	オトコオンナ	名詞-普通名詞-一般			オトコオンナ	和
09.03葵	OH_OO渋谷源氏	470	480	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	480	500	I	待ち	待つ	マツ	動詞-一般	文語四段-タ行	連用形-一般	マチ	和
09.03葵	OH_OO渋谷源氏	500	530	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
09.03葵	OH_OO渋谷源氏	530	550	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
09.03葵	OH_OO渋谷源氏	550	560	I	。	。		補助記号-句点				記号
09.03葵	OH_OO渋谷源氏	560	580	B	上臈	上﨟	ジョウロウ	名詞-普通名詞-一般			ジョーロー	漢
09.03葵	OH_OO渋谷源氏	580	600	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
09.03葵	OH_OO渋谷源氏	600	610	I	皆	皆	ミナ	名詞-普通名詞-副詞可能			ミナ	和
09.03葵	OH_OO渋谷源氏	610	650	I	参う上り	参い上る	マイノボル	動詞-一般	文語四段-ラ行	連用形-一般	モーノボリ	和
09.03葵	OH_OO渋谷源氏	650	660	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	660	670	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	670	680	I	我	我	ワレ	代名詞			ワレ	和
09.03葵	OH_OO渋谷源氏	680	690	I	も	も	モ	助詞-係助詞			モ	和
09.03葵	OH_OO渋谷源氏	690	700	I	我	我	ワレ	代名詞			ワレ	和
09.03葵	OH_OO渋谷源氏	700	710	I	も	も	モ	助詞-係助詞			モ	和
09.03葵	OH_OO渋谷源氏	710	720	I	と	と	ト	助詞-格助詞			ト	和
09.03葵	OH_OO渋谷源氏	720	750	I	装束き	装束く	ソウゾク	動詞-一般	文語四段-カ行	連用形-一般	ソーゾキ	混
09.03葵	OH_OO渋谷源氏	750	760	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	760	780	I	化粧	化粧	ケショウ	名詞-普通名詞-サ変可能			ケソー	漢
09.03葵	OH_OO渋谷源氏	780	790	I	じ	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	ジ	和
09.03葵	OH_OO渋谷源氏	790	810	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
09.03葵	OH_OO渋谷源氏	810	820	I	を	を	ヲ	助詞-格助詞			オ	和
09.03葵	OH_OO渋谷源氏	820	840	I	見る	見る	ミル	動詞-非自立可能	文語上一段-マ行	連体形-一般	ミル	和
09.03葵	OH_OO渋谷源氏	840	850	I	に	に	ニ	助詞-格助詞			ニ	和
09.03葵	OH_OO渋谷源氏	850	870	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
09.03葵	OH_OO渋谷源氏	870	880	I	て	て	テ	助詞-接続助詞			テ	和
09.03葵	OH_OO渋谷源氏	880	890	I	も	も	モ	助詞-係助詞			モ	和
09.03葵	OH_OO渋谷源氏	890	900	I	、	、		補助記号-読点				記号
09.03葵	OH_OO渋谷源氏	900	910	I	か	彼	カ	代名詞			カ	和
09.03葵	OH_OO渋谷源氏	910	920	I	の	の	ノ	助詞-格助詞			ノ	和
09.03葵	OH_OO渋谷源氏	920	930	I	ゐ	居る	イル	動詞-非自立可能	文語上一段-ワ行	連用形-一般	イ	和
09.03葵	OH_OO渋谷源氏	930	950	I	並み	並む	ナム	動詞-一般	文語四段-マ行	連用形-一般	ナミ	和
09.03葵	OH_OO渋谷源氏	950	970	I	屈じ	屈する	クッスル	動詞-一般	文語サ行変格	連用形-一般	クンジ	混
09.03葵	OH_OO渋谷源氏	970	990	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	連用形-一般	タリ	和
09.03葵	OH_OO渋谷源氏	990	1010	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
