12.04須磨	OH_OO渋谷源氏	430	450	B	須磨	スマ	スマ	名詞-固有名詞-地名-一般			スマ	固
12.04須磨	OH_OO渋谷源氏	450	460	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	460	470	I	は	は	ハ	助詞-係助詞			ワ	和
12.04須磨	OH_OO渋谷源氏	470	480	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	480	490	I	年	年	トシ	名詞-普通名詞-副詞可能			トシ	和
12.04須磨	OH_OO渋谷源氏	490	510	I	返り	返る	カエル	動詞-一般	文語四段-ラ行	連用形-一般	カエリ	和
12.04須磨	OH_OO渋谷源氏	510	520	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	520	530	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	530	540	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
12.04須磨	OH_OO渋谷源氏	540	560	I	長く	長い	ナガイ	形容詞-一般	文語形容詞-ク	連用形-一般	ナガク	和
12.04須磨	OH_OO渋谷源氏	560	600	I	つれづれ	徒然	ツレヅレ	名詞-普通名詞-形状詞可能			ツレズレ	和
12.04須磨	OH_OO渋谷源氏	600	620	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
12.04須磨	OH_OO渋谷源氏	620	630	I	に	に	ニ	助詞-接続助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	630	640	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	640	660	I	植ゑ	植える	ウエル	動詞-一般	文語下二段-ワ行	連用形-一般	ウエ	和
12.04須磨	OH_OO渋谷源氏	660	670	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	670	690	I	若木	若木	ワカギ	名詞-普通名詞-一般			ワカキ	和
12.04須磨	OH_OO渋谷源氏	690	700	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	700	710	I	桜	桜	サクラ	名詞-普通名詞-一般			サクラ	和
12.04須磨	OH_OO渋谷源氏	710	740	I	ほのか	仄か	ホノカ	形状詞-一般			ホノカ	和
12.04須磨	OH_OO渋谷源氏	740	750	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
12.04須磨	OH_OO渋谷源氏	750	770	I	咲き	咲く	サク	動詞-一般	文語四段-カ行	連用形-一般	サキ	和
12.04須磨	OH_OO渋谷源氏	770	790	I	初め	始める	ハジメル	動詞-非自立可能	文語下二段-マ行	連用形-一般	ハジメ	和
12.04須磨	OH_OO渋谷源氏	790	800	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	800	810	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	810	820	I	空	空	ソラ	名詞-普通名詞-一般			ソラ	和
12.04須磨	OH_OO渋谷源氏	820	830	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	830	860	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
12.04須磨	OH_OO渋谷源氏	860	900	I	うららか	麗らか	ウララカ	形状詞-一般			ウララカ	和
12.04須磨	OH_OO渋谷源氏	900	920	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
12.04須磨	OH_OO渋谷源氏	920	930	I	に	に	ニ	助詞-接続助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	930	940	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	940	970	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
12.04須磨	OH_OO渋谷源氏	970	980	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	980	1000	I	こと	事	コト	名詞-普通名詞-一般			コト	和
12.04須磨	OH_OO渋谷源氏	1000	1020	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
12.04須磨	OH_OO渋谷源氏	1020	1040	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	未然形-一般	イデ	和
12.04須磨	OH_OO渋谷源氏	1040	1060	I	られ	られる	ラレル	助動詞	文語下二段-ラ行	連用形-一般	ラレ	和
12.04須磨	OH_OO渋谷源氏	1060	1070	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	1070	1080	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1080	1100	I	うち	打ち	ウチ	接頭辞			ウチ	和
12.04須磨	OH_OO渋谷源氏	1100	1120	I	泣き	泣く	ナク	動詞-一般	文語四段-カ行	連用形-一般	ナキ	和
12.04須磨	OH_OO渋谷源氏	1120	1150	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
12.04須磨	OH_OO渋谷源氏	1150	1160	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
12.04須磨	OH_OO渋谷源氏	1160	1190	I	多かり	多い	オオイ	形容詞-一般	文語形容詞-ク	終止形-補助	オーカリ	和
12.04須磨	OH_OO渋谷源氏	1190	1200	I	。	。		補助記号-句点				記号
12.04須磨	OH_OO渋谷源氏	1200	1220	B	二月	如月	キサラギ	名詞-普通名詞-一般			キサラギ	和
12.04須磨	OH_OO渋谷源氏	1220	1240	I	二十	二十	ハツ	名詞-数詞			ハツ	和
12.04須磨	OH_OO渋谷源氏	1240	1250	I	日	日	カ	接尾辞-名詞的-助数詞			カ	和
12.04須磨	OH_OO渋谷源氏	1250	1280	I	あまり	余り	アマリ	名詞-普通名詞-一般			アマリ	和
12.04須磨	OH_OO渋谷源氏	1280	1290	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1290	1310	I	去に	往ぬ	イヌ	動詞-一般	文語ナ行変格	連用形-一般	イニ	和
12.04須磨	OH_OO渋谷源氏	1310	1320	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	1320	1330	I	年	年	トシ	名詞-普通名詞-副詞可能			トシ	和
12.04須磨	OH_OO渋谷源氏	1330	1340	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1340	1350	I	京	京	キョウ	名詞-普通名詞-一般			キョー	漢
12.04須磨	OH_OO渋谷源氏	1350	1360	I	を	を	ヲ	助詞-格助詞			オ	和
12.04須磨	OH_OO渋谷源氏	1360	1380	I	別れ	別れる	ワカレル	動詞-一般	文語下二段-ラ行	連用形-一般	ワカレ	和
12.04須磨	OH_OO渋谷源氏	1380	1390	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	1390	1400	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
12.04須磨	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1410	1460	I	心苦しかり	心苦しい	ココログルシイ	形容詞-一般	文語形容詞-シク	連用形-補助	ココログルシカリ	和
12.04須磨	OH_OO渋谷源氏	1460	1470	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	1470	1500	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
12.04須磨	OH_OO渋谷源氏	1500	1510	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1510	1520	I	御	御	オオン	接頭辞			オオン	和
12.04須磨	OH_OO渋谷源氏	1520	1560	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
12.04須磨	OH_OO渋谷源氏	1560	1580	I	など	など	ナド	助詞-副助詞			ナド	和
12.04須磨	OH_OO渋谷源氏	1580	1590	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1590	1610	I	いと	いと	イト	副詞			イト	和
12.04須磨	OH_OO渋谷源氏	1610	1640	I	恋しく	恋しい	コイシイ	形容詞-一般	文語形容詞-シク	連用形-一般	コイシク	和
12.04須磨	OH_OO渋谷源氏	1640	1650	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1650	1660	I	「	「		補助記号-括弧開				記号
12.04須磨	OH_OO渋谷源氏	1660	1680	I	南殿	南殿	ナンデン	名詞-普通名詞-一般			ナンデン	漢
12.04須磨	OH_OO渋谷源氏	1680	1690	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1690	1700	I	桜	桜	サクラ	名詞-普通名詞-一般			サクラ	和
12.04須磨	OH_OO渋谷源氏	1700	1710	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1710	1730	I	盛り	盛り	サカリ	名詞-普通名詞-一般			サカリ	和
12.04須磨	OH_OO渋谷源氏	1730	1740	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	1740	1760	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
12.04須磨	OH_OO渋谷源氏	1760	1770	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
12.04須磨	OH_OO渋谷源氏	1770	1790	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
12.04須磨	OH_OO渋谷源氏	1790	1800	I	。	。		補助記号-句点				記号
12.04須磨	OH_OO渋谷源氏	1800	1810	B	一	一	ヒト	名詞-数詞			ヒト	和
12.04須磨	OH_OO渋谷源氏	1810	1820	I	年	年	トセ	接尾辞-名詞的-助数詞			トセ	和
12.04須磨	OH_OO渋谷源氏	1820	1830	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1830	1840	I	花	花	ハナ	名詞-普通名詞-一般			ハナ	和
12.04須磨	OH_OO渋谷源氏	1840	1850	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1850	1860	I	宴	宴	エン	名詞-普通名詞-一般			エン	漢
12.04須磨	OH_OO渋谷源氏	1860	1870	I	に	に	ニ	助詞-格助詞			ニ	和
12.04須磨	OH_OO渋谷源氏	1870	1880	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1880	1890	I	院	院	イン	名詞-普通名詞-一般			イン	漢
12.04須磨	OH_OO渋谷源氏	1890	1900	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1900	1910	I	御	御	ミ	接頭辞			ミ	和
12.04須磨	OH_OO渋谷源氏	1910	1940	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
12.04須磨	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	1950	1970	I	内裏	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
12.04須磨	OH_OO渋谷源氏	1970	1980	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	1980	2000	I	主上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
12.04須磨	OH_OO渋谷源氏	2000	2010	I	の	の	ノ	助詞-格助詞			ノ	和
12.04須磨	OH_OO渋谷源氏	2010	2030	I	いと	いと	イト	副詞			イト	和
12.04須磨	OH_OO渋谷源氏	2030	2060	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
12.04須磨	OH_OO渋谷源氏	2060	2070	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
12.04須磨	OH_OO渋谷源氏	2070	2090	I	なま	生	ナマ	名詞-普通名詞-形状詞可能			ナマ	和
12.04須磨	OH_OO渋谷源氏	2090	2110	I	めい	めく	メク	接尾辞-動詞的	文語四段-カ行	連用形-イ音便	メイ	和
12.04須磨	OH_OO渋谷源氏	2110	2120	I	て	て	テ	助詞-接続助詞			テ	和
12.04須磨	OH_OO渋谷源氏	2120	2130	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2130	2140	I	わ	わ	ワ	代名詞			ワ	和
12.04須磨	OH_OO渋谷源氏	2140	2150	I	が	が	ガ	助詞-格助詞			ガ	和
12.04須磨	OH_OO渋谷源氏	2150	2170	I	作れ	作る	ツクル	動詞-一般	文語四段-ラ行	命令形	ツクレ	和
12.04須磨	OH_OO渋谷源氏	2170	2180	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
12.04須磨	OH_OO渋谷源氏	2180	2190	I	句	句	ク	名詞-普通名詞-一般			ク	漢
12.04須磨	OH_OO渋谷源氏	2190	2200	I	を	を	ヲ	助詞-格助詞			オ	和
12.04須磨	OH_OO渋谷源氏	2200	2220	I	誦じ	誦する	ジュスル	動詞-一般	文語サ行変格	連用形-一般	ズンジ	混
12.04須磨	OH_OO渋谷源氏	2220	2250	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
12.04須磨	OH_OO渋谷源氏	2250	2260	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
12.04須磨	OH_OO渋谷源氏	2260	2270	I	」	」		補助記号-括弧閉				記号
12.04須磨	OH_OO渋谷源氏	2270	2280	I	も	も	モ	助詞-係助詞			モ	和
12.04須磨	OH_OO渋谷源氏	2280	2290	I	、	、		補助記号-読点				記号
12.04須磨	OH_OO渋谷源氏	2290	2310	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
