13.03明石	OH_OO渋谷源氏	360	380	B	明石	アカシ	アカシ	名詞-固有名詞-地名-一般			アカシ	固
13.03明石	OH_OO渋谷源氏	380	390	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	390	400	I	は	は	ハ	助詞-係助詞			ワ	和
13.03明石	OH_OO渋谷源氏	400	410	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	410	420	I	例	例	レイ	名詞-普通名詞-一般			レー	漢
13.03明石	OH_OO渋谷源氏	420	430	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	430	440	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	440	450	I	秋	秋	アキ	名詞-普通名詞-副詞可能			アキ	和
13.03明石	OH_OO渋谷源氏	450	460	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	460	480	I	浜風	浜風	ハマカゼ	名詞-普通名詞-一般			ハマカゼ	和
13.03明石	OH_OO渋谷源氏	480	490	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	490	510	I	こと	異	コト	名詞-普通名詞-一般			コト	和
13.03明石	OH_OO渋谷源氏	510	530	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
13.03明石	OH_OO渋谷源氏	530	540	I	に	に	ニ	助詞-接続助詞			ニ	和
13.03明石	OH_OO渋谷源氏	540	550	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	550	580	I	一人寝	独り寝	ヒトリネ	名詞-普通名詞-一般			ヒトリネ	和
13.03明石	OH_OO渋谷源氏	580	590	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	590	630	I	まめやか	まめやか	マメヤカ	形状詞-一般			マメヤカ	和
13.03明石	OH_OO渋谷源氏	630	640	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	640	700	I	ものわびしう	物侘しい	モノワビシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	モノワビシュー	和
13.03明石	OH_OO渋谷源氏	700	710	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	710	720	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	720	740	I	入道	入道	ニュウドウ	名詞-普通名詞-サ変可能			ニュードー	漢
13.03明石	OH_OO渋谷源氏	740	750	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	750	760	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	760	780	I	折々	折々	オリオリ	名詞-普通名詞-副詞可能			オリオリ	和
13.03明石	OH_OO渋谷源氏	780	810	I	語らは	語らう	カタラウ	動詞-一般	文語四段-ハ行	未然形-一般	カタラワ	和
13.03明石	OH_OO渋谷源氏	810	820	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
13.03明石	OH_OO渋谷源氏	820	850	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
13.03明石	OH_OO渋谷源氏	850	860	I	。	。		補助記号-句点				記号
13.03明石	OH_OO渋谷源氏	860	870	B	「	「		補助記号-括弧開				記号
13.03明石	OH_OO渋谷源氏	870	900	I	とかく	兎角	トカク	副詞			トカク	和
13.03明石	OH_OO渋谷源氏	900	940	I	紛らはし	紛らわす	マギラワス	動詞-一般	文語四段-サ行	連用形-一般	マギラワシ	和
13.03明石	OH_OO渋谷源氏	940	950	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	950	960	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	960	980	I	こち	此方	コチ	代名詞			コチ	和
13.03明石	OH_OO渋谷源氏	980	1000	I	参ら	参る	マイル	動詞-非自立可能	文語四段-ラ行	未然形-一般	マイラ	和
13.03明石	OH_OO渋谷源氏	1000	1020	I	せよ	せる	セル	助動詞	文語下二段-サ行	命令形	セヨ	和
13.03明石	OH_OO渋谷源氏	1020	1030	I	」	」		補助記号-括弧閉				記号
13.03明石	OH_OO渋谷源氏	1030	1040	B	と	と	ト	助詞-格助詞			ト	和
13.03明石	OH_OO渋谷源氏	1040	1080	I	のたまひ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	連用形-一般	ノタマイ	和
13.03明石	OH_OO渋谷源氏	1080	1090	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	1090	1100	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	1100	1120	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
13.03明石	OH_OO渋谷源氏	1120	1150	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
13.03明石	OH_OO渋谷源氏	1150	1160	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
13.03明石	OH_OO渋谷源氏	1160	1180	I	こと	事	コト	名詞-普通名詞-一般			コト	和
13.03明石	OH_OO渋谷源氏	1180	1200	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
13.03明石	OH_OO渋谷源氏	1200	1220	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
13.03明石	OH_OO渋谷源氏	1220	1250	I	まじう	まじ	マジ	助動詞	文語助動詞-マジ	連用形-ウ音便	マジュー	和
13.03明石	OH_OO渋谷源氏	1250	1270	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
13.03明石	OH_OO渋谷源氏	1270	1290	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
13.03明石	OH_OO渋谷源氏	1290	1300	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	1310	1330	I	正身	正身	ソウジミ	名詞-普通名詞-一般			ソージミ	漢
13.03明石	OH_OO渋谷源氏	1330	1350	I	はた	将	ハタ	副詞			ハタ	和
13.03明石	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	1360	1390	I	さらに	更に	サラニ	副詞			サラニ	和
13.03明石	OH_OO渋谷源氏	1390	1410	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
13.03明石	OH_OO渋谷源氏	1410	1430	I	立つ	立つ	タツ	動詞-一般	文語四段-タ行	終止形-一般	タツ	和
13.03明石	OH_OO渋谷源氏	1430	1450	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
13.03明石	OH_OO渋谷源氏	1450	1460	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	1460	1480	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
13.03明石	OH_OO渋谷源氏	1480	1490	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
13.03明石	OH_OO渋谷源氏	1490	1500	I	。	。		補助記号-句点				記号
13.03明石	OH_OO渋谷源氏	1500	1510	B	「	「		補助記号-括弧開				記号
13.03明石	OH_OO渋谷源氏	1510	1530	I	いと	いと	イト	副詞			イト	和
13.03明石	OH_OO渋谷源氏	1530	1570	I	口惜しき	口惜しい	クチオシイ	形容詞-一般	文語形容詞-シク	連体形-一般	クチオシキ	和
13.03明石	OH_OO渋谷源氏	1570	1580	I	際	際	キワ	名詞-普通名詞-一般			キワ	和
13.03明石	OH_OO渋谷源氏	1580	1590	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	1590	1620	I	田舎人	田舎人	イナカビト	名詞-普通名詞-一般			イナカビト	和
13.03明石	OH_OO渋谷源氏	1620	1640	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
13.03明石	OH_OO渋谷源氏	1640	1650	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	1650	1660	I	仮	仮	カリ	名詞-普通名詞-一般			カリ	和
13.03明石	OH_OO渋谷源氏	1660	1670	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	1670	1690	I	下り	下る	クダル	動詞-一般	文語四段-ラ行	連用形-一般	クダリ	和
13.03明石	OH_OO渋谷源氏	1690	1710	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
13.03明石	OH_OO渋谷源氏	1710	1720	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
13.03明石	OH_OO渋谷源氏	1720	1730	I	の	の	ノ	助詞-格助詞			ノ	和
13.03明石	OH_OO渋谷源氏	1730	1750	I	うち	打ち	ウチ	接頭辞			ウチ	和
13.03明石	OH_OO渋谷源氏	1750	1770	I	とけ	解ける	トケル	動詞-一般	文語下二段-カ行	連用形-一般	トケ	和
13.03明石	OH_OO渋谷源氏	1770	1780	I	言	言	コト	名詞-普通名詞-一般			コト	和
13.03明石	OH_OO渋谷源氏	1780	1790	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	1790	1810	I	つき	付く	ツク	動詞-非自立可能	文語四段-カ行	連用形-一般	ツキ	和
13.03明石	OH_OO渋谷源氏	1810	1820	I	て	て	テ	助詞-接続助詞			テ	和
13.03明石	OH_OO渋谷源氏	1820	1830	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	1830	1860	I	さやう	然様	サヨウ	形状詞-一般			サヨー	混
13.03明石	OH_OO渋谷源氏	1860	1870	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	1870	1900	I	軽らか	軽らか	カロラカ	形状詞-一般			カロラカ	和
13.03明石	OH_OO渋谷源氏	1900	1910	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
13.03明石	OH_OO渋谷源氏	1910	1940	I	語らふ	語らう	カタラウ	動詞-一般	文語四段-ハ行	連体形-一般	カタラウ	和
13.03明石	OH_OO渋谷源氏	1940	1960	I	わざ	技	ワザ	名詞-普通名詞-一般			ワザ	和
13.03明石	OH_OO渋谷源氏	1960	1970	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	1970	1980	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	1980	1990	I	す	為る	スル	動詞-非自立可能	文語サ行変格	終止形-一般	ス	和
13.03明石	OH_OO渋谷源氏	1990	2010	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-伝聞	已然形-一般	ナレ	和
13.03明石	OH_OO渋谷源氏	2010	2020	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2020	2040	I	人数	人数	ヒトカズ	名詞-普通名詞-一般			ヒトカズ	和
13.03明石	OH_OO渋谷源氏	2040	2050	I	に	に	ニ	助詞-格助詞			ニ	和
13.03明石	OH_OO渋谷源氏	2050	2060	I	も	も	モ	助詞-係助詞			モ	和
13.03明石	OH_OO渋谷源氏	2060	2080	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
13.03明石	OH_OO渋谷源氏	2080	2090	I	れ	れる	レル	助動詞	文語下二段-ラ行	未然形-一般	レ	和
13.03明石	OH_OO渋谷源氏	2090	2110	I	ざら	ず	ズ	助動詞	文語助動詞-ズ	未然形-補助	ザラ	和
13.03明石	OH_OO渋谷源氏	2110	2120	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
13.03明石	OH_OO渋谷源氏	2120	2140	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
13.03明石	OH_OO渋谷源氏	2140	2160	I	ゆゑ	故	ユエ	名詞-普通名詞-副詞可能			ユエ	和
13.03明石	OH_OO渋谷源氏	2160	2170	I	、	、		補助記号-読点				記号
13.03明石	OH_OO渋谷源氏	2170	2180	I	我	我	ワレ	代名詞			ワレ	和
13.03明石	OH_OO渋谷源氏	2180	2190	I	は	は	ハ	助詞-係助詞			ワ	和
13.03明石	OH_OO渋谷源氏	2190	2230	I	いみじき	いみじい	イミジイ	形容詞-一般	文語形容詞-シク	連体形-一般	イミジキ	和
13.03明石	OH_OO渋谷源氏	2230	2270	I	もの思ひ	物思い	モノオモイ	名詞-普通名詞-一般			モノオモイ	和
13.03明石	OH_OO渋谷源氏	2270	2280	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	2280	2290	I	や	や	ヤ	助詞-係助詞			ヤ	和
13.03明石	OH_OO渋谷源氏	2290	2310	I	添へ	添える	ソエル	動詞-一般	文語下二段-ハ行	未然形-一般	ソエ	和
13.03明石	OH_OO渋谷源氏	2310	2320	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
13.03明石	OH_OO渋谷源氏	2320	2330	I	。	。		補助記号-句点				記号
13.03明石	OH_OO渋谷源氏	2330	2350	B	かく	斯く	カク	副詞			カク	和
13.03明石	OH_OO渋谷源氏	2350	2390	I	及びなき	及び無い	オヨビナイ	形容詞-一般	文語形容詞-ク	連体形-一般	オヨビナキ	和
13.03明石	OH_OO渋谷源氏	2390	2400	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
13.03明石	OH_OO渋谷源氏	2400	2410	I	を	を	ヲ	助詞-格助詞			オ	和
13.03明石	OH_OO渋谷源氏	2410	2430	I	思へ	思う	オモウ	動詞-一般	文語四段-ハ行	命令形	オモエ	和
13.03明石	OH_OO渋谷源氏	2430	2440	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
