14.01澪標	OH_OO渋谷源氏	310	340	B	さやか	清か	サヤカ	形状詞-一般			サヤカ	和
14.01澪標	OH_OO渋谷源氏	340	350	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	350	370	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
14.01澪標	OH_OO渋谷源氏	370	400	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	400	410	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
14.01澪標	OH_OO渋谷源氏	410	420	I	夢	夢	ユメ	名詞-普通名詞-一般			ユメ	和
14.01澪標	OH_OO渋谷源氏	420	430	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	430	440	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
14.01澪標	OH_OO渋谷源氏	440	450	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	450	460	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	460	470	I	院	院	イン	名詞-普通名詞-一般			イン	漢
14.01澪標	OH_OO渋谷源氏	470	480	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	480	490	I	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
14.01澪標	OH_OO渋谷源氏	490	500	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	500	510	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	510	530	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	530	540	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	540	550	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
14.01澪標	OH_OO渋谷源氏	550	560	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	560	580	I	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	カケ	和
14.01澪標	OH_OO渋谷源氏	580	610	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
14.01澪標	OH_OO渋谷源氏	610	640	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	640	650	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	650	660	I	、	、		補助記号-読点				記号
