16.02関屋	OH_OO渋谷源氏	270	290	B	石山	イシヤマ	イシヤマ	名詞-固有名詞-地名-一般			イシヤマ	固
16.02関屋	OH_OO渋谷源氏	290	310	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
16.02関屋	OH_OO渋谷源氏	310	330	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
16.02関屋	OH_OO渋谷源氏	330	360	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
16.02関屋	OH_OO渋谷源氏	360	370	I	御	御	オオン	接頭辞			オオン	和
16.02関屋	OH_OO渋谷源氏	370	390	I	迎へ	迎え	ムカエ	名詞-普通名詞-一般			ムカエ	和
16.02関屋	OH_OO渋谷源氏	390	400	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	400	410	I	右	右	ウ	接頭辞			ウ	漢
16.02関屋	OH_OO渋谷源氏	410	430	I	衛門	衛門	エモン	名詞-普通名詞-一般			エモン	漢
16.02関屋	OH_OO渋谷源氏	430	440	I	佐	助	スケ	名詞-普通名詞-一般			スケ	和
16.02関屋	OH_OO渋谷源氏	440	460	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
16.02関屋	OH_OO渋谷源氏	460	470	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	470	480	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
16.02関屋	OH_OO渋谷源氏	480	490	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	490	520	I	まかり	罷る	マカル	動詞-一般	文語四段-ラ行	連用形-一般	マカリ	和
16.02関屋	OH_OO渋谷源氏	520	540	I	過ぎ	過ぎる	スギル	動詞-非自立可能	文語上二段-ガ行	連用形-一般	スギ	和
16.02関屋	OH_OO渋谷源氏	540	550	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	550	600	I	かしこまり	畏まり	カシコマリ	名詞-普通名詞-一般			カシコマリ	和
16.02関屋	OH_OO渋谷源氏	600	620	I	など	など	ナド	助詞-副助詞			ナド	和
16.02関屋	OH_OO渋谷源氏	620	640	I	申す	申す	モウス	動詞-非自立可能	文語四段-サ行	終止形-一般	モース	和
16.02関屋	OH_OO渋谷源氏	640	650	I	。	。		補助記号-句点				記号
16.02関屋	OH_OO渋谷源氏	650	660	B	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
16.02関屋	OH_OO渋谷源氏	660	670	I	，	，		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	670	680	I	童	童	ワラワ	名詞-普通名詞-一般			ワラワ	和
16.02関屋	OH_OO渋谷源氏	680	690	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
16.02関屋	OH_OO渋谷源氏	690	700	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	700	710	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	710	730	I	いと	いと	イト	副詞			イト	和
16.02関屋	OH_OO渋谷源氏	730	780	I	むつましう	睦まじい	ムツマジイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ムツマシュー	和
16.02関屋	OH_OO渋谷源氏	780	820	I	らうたき	ろうたい	ロウタイ	形容詞-一般	文語形容詞-ク	連体形-一般	ロータキ	和
16.02関屋	OH_OO渋谷源氏	820	840	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
16.02関屋	OH_OO渋谷源氏	840	850	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	850	860	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	860	890	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
16.02関屋	OH_OO渋谷源氏	890	910	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
16.02関屋	OH_OO渋谷源氏	910	920	I	ば	ば	バ	助詞-接続助詞			バ	和
16.02関屋	OH_OO渋谷源氏	920	930	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	930	970	I	かうぶり	冠	カンムリ	名詞-普通名詞-一般			コーブリ	和
