22.03玉鬘	OH_OO渋谷源氏	380	400	B	九条	クジョウ	クジョウ	名詞-固有名詞-地名-一般			クジョー	固
22.03玉鬘	OH_OO渋谷源氏	400	410	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	410	420	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	420	430	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
22.03玉鬘	OH_OO渋谷源氏	430	450	I	知れ	知る	シル	動詞-一般	文語四段-ラ行	命令形	シレ	和
22.03玉鬘	OH_OO渋谷源氏	450	460	I	り	り	リ	助動詞	文語助動詞-リ	連用形-一般	リ	和
22.03玉鬘	OH_OO渋谷源氏	460	480	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
22.03玉鬘	OH_OO渋谷源氏	480	490	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
22.03玉鬘	OH_OO渋谷源氏	490	500	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	500	520	I	残り	残る	ノコル	動詞-一般	文語四段-ラ行	連用形-一般	ノコリ	和
22.03玉鬘	OH_OO渋谷源氏	520	540	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	連用形-一般	タリ	和
22.03玉鬘	OH_OO渋谷源氏	540	560	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
22.03玉鬘	OH_OO渋谷源氏	560	570	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	570	600	I	訪らひ	訪う	トブラウ	動詞-一般	文語四段-ハ行	連用形-一般	トブライ	和
22.03玉鬘	OH_OO渋谷源氏	600	620	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
22.03玉鬘	OH_OO渋谷源氏	620	630	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	630	640	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	640	650	I	そ	其	ソ	代名詞			ソ	和
22.03玉鬘	OH_OO渋谷源氏	650	660	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	660	680	I	宿り	宿り	ヤドリ	名詞-普通名詞-一般			ヤドリ	和
22.03玉鬘	OH_OO渋谷源氏	680	690	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	690	710	I	占め	占める	シメル	動詞-一般	文語下二段-マ行	連用形-一般	シメ	和
22.03玉鬘	OH_OO渋谷源氏	710	730	I	置き	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
22.03玉鬘	OH_OO渋谷源氏	730	740	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	740	750	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	750	760	I	都	都	ミヤコ	名詞-普通名詞-一般			ミヤコ	和
22.03玉鬘	OH_OO渋谷源氏	760	770	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	770	790	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
22.03玉鬘	OH_OO渋谷源氏	790	800	I	と	と	ト	助詞-格助詞			ト	和
22.03玉鬘	OH_OO渋谷源氏	800	820	I	いへ	言う	イウ	動詞-一般	文語四段-ハ行	已然形-一般	イエ	和
22.03玉鬘	OH_OO渋谷源氏	820	830	I	ど	ど	ド	助詞-接続助詞			ド	和
22.03玉鬘	OH_OO渋谷源氏	830	840	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	840	900	I	はかばかしき	捗々しい	ハカバカシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ハカバカシキ	和
22.03玉鬘	OH_OO渋谷源氏	900	910	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
22.03玉鬘	OH_OO渋谷源氏	910	920	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	920	940	I	住み	住む	スム	動詞-一般	文語四段-マ行	連用形-一般	スミ	和
22.03玉鬘	OH_OO渋谷源氏	940	960	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
22.03玉鬘	OH_OO渋谷源氏	960	990	I	わたり	辺り	ワタリ	名詞-普通名詞-一般			ワタリ	和
22.03玉鬘	OH_OO渋谷源氏	990	1000	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	1000	1010	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	1010	1030	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
22.03玉鬘	OH_OO渋谷源氏	1030	1040	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
22.03玉鬘	OH_OO渋谷源氏	1040	1050	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1050	1090	I	あやしき	怪しい	アヤシイ	形容詞-一般	文語形容詞-シク	連体形-一般	アヤシキ	和
22.03玉鬘	OH_OO渋谷源氏	1090	1110	I	市女	市女	イチメ	名詞-普通名詞-一般			イチメ	和
22.03玉鬘	OH_OO渋谷源氏	1110	1120	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1120	1140	I	商人	商人	アキンド	名詞-普通名詞-一般			アキビト	和
22.03玉鬘	OH_OO渋谷源氏	1140	1150	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	1150	1170	I	なか	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
22.03玉鬘	OH_OO渋谷源氏	1170	1180	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
22.03玉鬘	OH_OO渋谷源氏	1180	1190	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	1190	1200	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1200	1240	I	いぶせく	いぶせい	イブセイ	形容詞-一般	文語形容詞-ク	連用形-一般	イブセク	和
22.03玉鬘	OH_OO渋谷源氏	1240	1250	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
22.03玉鬘	OH_OO渋谷源氏	1250	1260	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	1260	1270	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
22.03玉鬘	OH_OO渋谷源氏	1270	1280	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	1280	1300	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
