34.01若菜上	OH_OO渋谷源氏	310	330	B	朱雀	スザク	スザク	名詞-固有名詞-人名-一般			スザク	固
34.01若菜上	OH_OO渋谷源氏	330	340	I	院	院	イン	接尾辞-名詞的-一般			イン	漢
34.01若菜上	OH_OO渋谷源氏	340	350	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	350	360	I	帝	帝	ミカド	名詞-普通名詞-一般			ミカド	和
34.01若菜上	OH_OO渋谷源氏	360	370	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	370	390	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
34.01若菜上	OH_OO渋谷源氏	390	400	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.01若菜上	OH_OO渋谷源氏	400	420	I	御幸	御幸	ミユキ	名詞-普通名詞-一般			ミユキ	和
34.01若菜上	OH_OO渋谷源氏	420	430	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	430	450	I	のち	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
34.01若菜上	OH_OO渋谷源氏	450	460	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	460	470	I	そ	其	ソ	代名詞			ソ	和
34.01若菜上	OH_OO渋谷源氏	470	480	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	480	520	I	ころほひ	頃おい	コロオイ	名詞-普通名詞-一般			コロオイ	和
34.01若菜上	OH_OO渋谷源氏	520	540	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.01若菜上	OH_OO渋谷源氏	540	550	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	550	560	I	例	例	レイ	名詞-普通名詞-一般			レー	漢
34.01若菜上	OH_OO渋谷源氏	560	580	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
34.01若菜上	OH_OO渋谷源氏	580	590	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
34.01若菜上	OH_OO渋谷源氏	590	610	I	悩み	悩む	ナヤム	動詞-一般	文語四段-マ行	連用形-一般	ナヤミ	和
34.01若菜上	OH_OO渋谷源氏	610	640	I	わたら	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	未然形-一般	ワタラ	和
34.01若菜上	OH_OO渋谷源氏	640	650	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
34.01若菜上	OH_OO渋谷源氏	650	680	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
34.01若菜上	OH_OO渋谷源氏	680	690	I	。	。		補助記号-句点				記号
34.01若菜上	OH_OO渋谷源氏	690	710	B	もと	下	モト	名詞-普通名詞-副詞可能			モト	和
34.01若菜上	OH_OO渋谷源氏	710	730	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
34.01若菜上	OH_OO渋谷源氏	730	770	I	あつしく	篤しい	アツシイ	形容詞-一般	文語形容詞-シク	連用形-一般	アツシク	和
34.01若菜上	OH_OO渋谷源氏	770	820	I	おはします	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連体形-一般	オワシマス	和
34.01若菜上	OH_OO渋谷源氏	820	840	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
34.01若菜上	OH_OO渋谷源氏	840	850	I	に	に	ニ	助詞-格助詞			ニ	和
