34.04若菜上	OH_OO渋谷源氏	310	330	B	六条	ロクジョウ	ロクジョウ	名詞-固有名詞-地名-一般			ロクジョー	固
34.04若菜上	OH_OO渋谷源氏	330	340	I	院	院	イン	名詞-普通名詞-一般			イン	漢
34.04若菜上	OH_OO渋谷源氏	340	350	I	は	は	ハ	助詞-係助詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	350	360	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	360	380	I	なま	生	ナマ	接頭辞			ナマ	和
34.04若菜上	OH_OO渋谷源氏	380	420	I	心苦しう	心苦しい	ココログルシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ココログルシュー	和
34.04若菜上	OH_OO渋谷源氏	420	430	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	430	470	I	さまざま	様々	サマザマ	副詞			サマザマ	和
34.04若菜上	OH_OO渋谷源氏	470	490	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.04若菜上	OH_OO渋谷源氏	490	510	I	乱る	乱れる	ミダレル	動詞-一般	文語下二段-ラ行	終止形-一般	ミダル	和
34.04若菜上	OH_OO渋谷源氏	510	520	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	520	530	B	紫	紫	ムラサキ	名詞-普通名詞-一般			ムラサキ	和
34.04若菜上	OH_OO渋谷源氏	530	540	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	540	550	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
34.04若菜上	OH_OO渋谷源氏	550	560	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	560	570	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	570	600	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
34.04若菜上	OH_OO渋谷源氏	600	610	I	御	御	オオン	接頭辞			オオン	和
34.04若菜上	OH_OO渋谷源氏	610	630	I	定め	定め	サダメ	名詞-普通名詞-一般			サダメ	和
34.04若菜上	OH_OO渋谷源氏	630	650	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
34.04若菜上	OH_OO渋谷源氏	650	660	I	と	と	ト	助詞-格助詞			ト	和
34.04若菜上	OH_OO渋谷源氏	660	670	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	670	690	I	かね	兼ねる	カネル	動詞-一般	文語下二段-ナ行	連用形-一般	カネ	和
34.04若菜上	OH_OO渋谷源氏	690	700	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	700	710	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	710	730	I	ほの	仄	ホノ	接頭辞			ホノ	和
34.04若菜上	OH_OO渋谷源氏	730	750	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
34.04若菜上	OH_OO渋谷源氏	750	780	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.04若菜上	OH_OO渋谷源氏	780	800	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
34.04若菜上	OH_OO渋谷源氏	800	810	I	ど	ど	ド	助詞-接続助詞			ド	和
34.04若菜上	OH_OO渋谷源氏	810	820	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	820	830	B	「	「		補助記号-括弧開				記号
34.04若菜上	OH_OO渋谷源氏	830	840	I	さ	然	サ	副詞			サ	和
34.04若菜上	OH_OO渋谷源氏	840	860	I	しも	しも	シモ	助詞-副助詞			シモ	和
34.04若菜上	OH_OO渋谷源氏	860	880	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.04若菜上	OH_OO渋谷源氏	880	890	I	じ	じ	ジ	助動詞	文語助動詞-ジ	終止形-一般	ジ	和
34.04若菜上	OH_OO渋谷源氏	890	900	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	900	910	B	前	先	サキ	名詞-普通名詞-副詞可能			サキ	和
34.04若菜上	OH_OO渋谷源氏	910	930	I	斎院	斎院	サイイン	名詞-普通名詞-一般			サイイン	漢
34.04若菜上	OH_OO渋谷源氏	930	940	I	を	を	ヲ	助詞-格助詞			オ	和
34.04若菜上	OH_OO渋谷源氏	940	950	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	950	960	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	960	1000	I	ねむごろ	懇ろ	ネンゴロ	形状詞-一般			ネンゴロ	和
34.04若菜上	OH_OO渋谷源氏	1000	1010	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.04若菜上	OH_OO渋谷源氏	1010	1040	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.04若菜上	OH_OO渋谷源氏	1040	1070	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
34.04若菜上	OH_OO渋谷源氏	1070	1090	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
34.04若菜上	OH_OO渋谷源氏	1090	1110	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
34.04若菜上	OH_OO渋谷源氏	1110	1130	I	しか	き	キ	助動詞	文語助動詞-キ	已然形-一般	シカ	和
34.04若菜上	OH_OO渋谷源氏	1130	1140	I	ど	ど	ド	助詞-接続助詞			ド	和
34.04若菜上	OH_OO渋谷源氏	1140	1150	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	1150	1180	I	わざと	態と	ワザト	副詞			ワザト	和
34.04若菜上	OH_OO渋谷源氏	1180	1200	I	しも	しも	シモ	助詞-副助詞			シモ	和
34.04若菜上	OH_OO渋谷源氏	1200	1220	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.04若菜上	OH_OO渋谷源氏	1220	1240	I	遂げ	遂げる	トゲル	動詞-一般	文語下二段-ガ行	未然形-一般	トゲ	和
34.04若菜上	OH_OO渋谷源氏	1240	1250	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
34.04若菜上	OH_OO渋谷源氏	1250	1270	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
34.04若菜上	OH_OO渋谷源氏	1270	1280	I	に	ぬ	ヌ	助動詞	文語助動詞-ヌ	連用形-一般	ニ	和
34.04若菜上	OH_OO渋谷源氏	1280	1290	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
34.04若菜上	OH_OO渋谷源氏	1290	1300	I	を	を	ヲ	助詞-格助詞			オ	和
34.04若菜上	OH_OO渋谷源氏	1300	1310	I	」	」		補助記号-括弧閉				記号
34.04若菜上	OH_OO渋谷源氏	1310	1330	B	など	など	ナド	助詞-副助詞			ナド	和
34.04若菜上	OH_OO渋谷源氏	1330	1350	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.04若菜上	OH_OO渋谷源氏	1350	1360	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	1360	1370	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	1370	1380	I	「	「		補助記号-括弧開				記号
34.04若菜上	OH_OO渋谷源氏	1380	1400	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
34.04若菜上	OH_OO渋谷源氏	1400	1420	I	こと	事	コト	名詞-普通名詞-一般			コト	和
34.04若菜上	OH_OO渋谷源氏	1420	1430	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	1430	1440	I	や	や	ヤ	助詞-係助詞			ヤ	和
34.04若菜上	OH_OO渋谷源氏	1440	1460	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
34.04若菜上	OH_OO渋谷源氏	1460	1470	I	」	」		補助記号-括弧閉				記号
34.04若菜上	OH_OO渋谷源氏	1470	1480	I	と	と	ト	助詞-格助詞			ト	和
34.04若菜上	OH_OO渋谷源氏	1480	1490	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	1490	1510	I	問ひ	問う	トウ	動詞-一般	文語四段-ハ行	連用形-一般	トイ	和
34.04若菜上	OH_OO渋谷源氏	1510	1540	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
34.04若菜上	OH_OO渋谷源氏	1540	1570	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
34.04若菜上	OH_OO渋谷源氏	1570	1580	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
34.04若菜上	OH_OO渋谷源氏	1580	1590	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	1590	1610	I	何心	何心	ナニゴコロ	名詞-普通名詞-一般			ナニゴコロ	和
34.04若菜上	OH_OO渋谷源氏	1610	1620	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	1620	1640	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
34.04若菜上	OH_OO渋谷源氏	1640	1650	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	1650	1690	I	おはする	おわす	オワス	動詞-非自立可能	文語サ行変格	連体形-一般	オワスル	和
34.04若菜上	OH_OO渋谷源氏	1690	1700	I	に	に	ニ	助詞-格助詞			ニ	和
34.04若菜上	OH_OO渋谷源氏	1700	1710	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	1710	1760	I	いとほしく	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	連用形-一般	イトーシク	和
34.04若菜上	OH_OO渋谷源氏	1760	1770	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	1770	1780	B	「	「		補助記号-括弧開				記号
34.04若菜上	OH_OO渋谷源氏	1780	1790	I	こ	是	コ	代名詞			コ	和
34.04若菜上	OH_OO渋谷源氏	1790	1800	I	の	の	ノ	助詞-格助詞			ノ	和
34.04若菜上	OH_OO渋谷源氏	1800	1810	I	事	事	コト	名詞-普通名詞-一般			コト	和
34.04若菜上	OH_OO渋谷源氏	1810	1820	I	を	を	ヲ	助詞-格助詞			オ	和
34.04若菜上	OH_OO渋谷源氏	1820	1850	I	いかに	如何に	イカニ	副詞			イカニ	和
34.04若菜上	OH_OO渋谷源氏	1850	1870	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
34.04若菜上	OH_OO渋谷源氏	1870	1880	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
34.04若菜上	OH_OO渋谷源氏	1880	1890	I	。	。		補助記号-句点				記号
34.04若菜上	OH_OO渋谷源氏	1890	1900	B	わ	わ	ワ	代名詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	1900	1910	I	が	が	ガ	助詞-格助詞			ガ	和
34.04若菜上	OH_OO渋谷源氏	1910	1920	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
34.04若菜上	OH_OO渋谷源氏	1920	1930	I	は	は	ハ	助詞-係助詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	1930	1950	I	つゆ	露	ツユ	副詞			ツユ	和
34.04若菜上	OH_OO渋谷源氏	1950	1960	I	も	も	モ	助詞-係助詞			モ	和
34.04若菜上	OH_OO渋谷源氏	1960	1990	I	変はる	変わる	カワル	動詞-一般	文語四段-ラ行	終止形-一般	カワル	和
34.04若菜上	OH_OO渋谷源氏	1990	2020	I	まじく	まじ	マジ	助動詞	文語助動詞-マジ	連用形-一般	マジク	和
34.04若菜上	OH_OO渋谷源氏	2020	2030	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	2030	2050	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
34.04若菜上	OH_OO渋谷源氏	2050	2070	I	こと	事	コト	名詞-普通名詞-一般			コト	和
34.04若菜上	OH_OO渋谷源氏	2070	2090	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.04若菜上	OH_OO渋谷源氏	2090	2100	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
34.04若菜上	OH_OO渋谷源氏	2100	2110	I	に	に	ニ	助詞-格助詞			ニ	和
34.04若菜上	OH_OO渋谷源氏	2110	2130	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
34.04若菜上	OH_OO渋谷源氏	2130	2140	I	て	て	テ	助詞-接続助詞			テ	和
34.04若菜上	OH_OO渋谷源氏	2140	2150	I	は	は	ハ	助詞-係助詞			ワ	和
34.04若菜上	OH_OO渋谷源氏	2150	2160	I	、	、		補助記号-読点				記号
34.04若菜上	OH_OO渋谷源氏	2160	2200	I	なかなか	中々	ナカナカ	副詞			ナカナカ	和
34.04若菜上	OH_OO渋谷源氏	2200	2230	I	いとど	いとど	イトド	副詞			イトド	和
34.04若菜上	OH_OO渋谷源氏	2230	2240	I	深	深い	フカイ	形容詞-一般	文語形容詞-ク	語幹-一般	フカ	和
34.04若菜上	OH_OO渋谷源氏	2240	2250	I	さ	さ	サ	接尾辞-名詞的-一般			サ	和
34.04若菜上	OH_OO渋谷源氏	2250	2270	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
