34.08若菜上	OH_OO渋谷源氏	310	330	B	桐壺	桐壺	キリツボ	名詞-固有名詞-一般			キリツボ	固
34.08若菜上	OH_OO渋谷源氏	330	340	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	340	350	I	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	350	360	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.08若菜上	OH_OO渋谷源氏	360	370	I	は	は	ハ	助詞-係助詞			ワ	和
34.08若菜上	OH_OO渋谷源氏	370	380	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	380	400	I	うち	打ち	ウチ	接頭辞			ウチ	和
34.08若菜上	OH_OO渋谷源氏	400	420	I	はへ	延える	ハエル	動詞-一般	文語下二段-ハ行	連用形-一般	ハエ	和
34.08若菜上	OH_OO渋谷源氏	420	430	I	え	え	エ	副詞			エ	和
34.08若菜上	OH_OO渋谷源氏	430	460	I	まかで	罷出でる	マカデル	動詞-一般	文語下二段-ダ行	連用形-一般	マカデ	和
34.08若菜上	OH_OO渋谷源氏	460	490	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
34.08若菜上	OH_OO渋谷源氏	490	500	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
34.08若菜上	OH_OO渋谷源氏	500	510	I	。	。		補助記号-句点				記号
34.08若菜上	OH_OO渋谷源氏	510	520	B	御	御	オオン	接頭辞			オオン	和
34.08若菜上	OH_OO渋谷源氏	520	530	I	暇	暇	イトマ	名詞-普通名詞-一般			イトマ	和
34.08若菜上	OH_OO渋谷源氏	530	540	I	の	の	ノ	助詞-格助詞			ノ	和
34.08若菜上	OH_OO渋谷源氏	540	560	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
34.08若菜上	OH_OO渋谷源氏	560	600	I	がたけれ	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	已然形-一般	ガタケレ	和
34.08若菜上	OH_OO渋谷源氏	600	610	I	ば	ば	バ	助詞-接続助詞			バ	和
34.08若菜上	OH_OO渋谷源氏	610	620	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	620	650	I	心安く	心安い	ココロヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロヤスク	和
34.08若菜上	OH_OO渋谷源氏	650	680	I	ならひ	習う	ナラウ	動詞-一般	文語四段-ハ行	連用形-一般	ナライ	和
34.08若菜上	OH_OO渋谷源氏	680	710	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
34.08若菜上	OH_OO渋谷源氏	710	720	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
34.08若菜上	OH_OO渋谷源氏	720	740	I	若き	若い	ワカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワカキ	和
34.08若菜上	OH_OO渋谷源氏	740	750	I	御	御	ミ	接頭辞			ミ	和
34.08若菜上	OH_OO渋谷源氏	750	760	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
34.08若菜上	OH_OO渋谷源氏	760	770	I	に	に	ニ	助詞-格助詞			ニ	和
34.08若菜上	OH_OO渋谷源氏	770	780	I	、	、		補助記号-読点				記号
34.08若菜上	OH_OO渋谷源氏	780	800	I	いと	いと	イト	副詞			イト	和
34.08若菜上	OH_OO渋谷源氏	800	830	I	苦しく	苦しい	クルシイ	形容詞-一般	文語形容詞-シク	連用形-一般	クルシク	和
34.08若菜上	OH_OO渋谷源氏	830	850	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
34.08若菜上	OH_OO渋谷源氏	850	870	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.08若菜上	OH_OO渋谷源氏	870	890	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
34.08若菜上	OH_OO渋谷源氏	890	900	I	。	。		補助記号-句点				記号
