38.03鈴虫	OH_OO渋谷源氏	250	270	B	六条	ロクジョウ	ロクジョウ	名詞-固有名詞-地名-一般			ロクジョー	固
38.03鈴虫	OH_OO渋谷源氏	270	280	I	院	院	イン	名詞-普通名詞-一般			イン	漢
38.03鈴虫	OH_OO渋谷源氏	280	290	I	は	は	ハ	助詞-係助詞			ワ	和
38.03鈴虫	OH_OO渋谷源氏	290	300	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	300	320	I	中宮	中宮	チュウグウ	名詞-普通名詞-一般			チューグー	漢
38.03鈴虫	OH_OO渋谷源氏	320	330	I	の	の	ノ	助詞-格助詞			ノ	和
38.03鈴虫	OH_OO渋谷源氏	330	340	I	御	御	オオン	接頭辞			オオン	和
38.03鈴虫	OH_OO渋谷源氏	340	350	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
38.03鈴虫	OH_OO渋谷源氏	350	360	I	に	に	ニ	助詞-格助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	360	380	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
38.03鈴虫	OH_OO渋谷源氏	380	410	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
38.03鈴虫	OH_OO渋谷源氏	410	420	I	て	て	テ	助詞-接続助詞			テ	和
38.03鈴虫	OH_OO渋谷源氏	420	430	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	430	440	I	御	御	オオン	接頭辞			オオン	和
38.03鈴虫	OH_OO渋谷源氏	440	460	I	物語	物語	モノガタリ	名詞-普通名詞-一般			モノガタリ	和
38.03鈴虫	OH_OO渋谷源氏	460	480	I	など	など	ナド	助詞-副助詞			ナド	和
38.03鈴虫	OH_OO渋谷源氏	480	510	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
38.03鈴虫	OH_OO渋谷源氏	510	540	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
38.03鈴虫	OH_OO渋谷源氏	540	550	I	。	。		補助記号-句点				記号
38.03鈴虫	OH_OO渋谷源氏	550	560	B	「	「		補助記号-括弧開				記号
38.03鈴虫	OH_OO渋谷源氏	560	570	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
38.03鈴虫	OH_OO渋谷源氏	570	580	I	は	は	ハ	助詞-係助詞			ワ	和
38.03鈴虫	OH_OO渋谷源氏	580	600	I	かう	斯く	カク	副詞			コー	和
38.03鈴虫	OH_OO渋谷源氏	600	620	I	静か	静か	シズカ	形状詞-一般			シズカ	和
38.03鈴虫	OH_OO渋谷源氏	620	640	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
38.03鈴虫	OH_OO渋谷源氏	640	650	I	御	御	オオン	接頭辞			オオン	和
38.03鈴虫	OH_OO渋谷源氏	650	680	I	住まひ	住まい	スマイ	名詞-普通名詞-一般			スマイ	和
38.03鈴虫	OH_OO渋谷源氏	680	690	I	に	に	ニ	助詞-格助詞			ニ	和
38.03鈴虫	OH_OO渋谷源氏	690	700	I	、	、		補助記号-読点				記号
38.03鈴虫	OH_OO渋谷源氏	700	740	I	しばしば	屡	シバシバ	副詞			シバシバ	和
38.03鈴虫	OH_OO渋谷源氏	740	750	I	も	も	モ	助詞-係助詞			モ	和
38.03鈴虫	OH_OO渋谷源氏	750	770	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
38.03鈴虫	OH_OO渋谷源氏	770	780	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
38.03鈴虫	OH_OO渋谷源氏	780	800	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
38.03鈴虫	OH_OO渋谷源氏	800	810	I	、	、		補助記号-読点				記号
