39.02夕霧	OH_OO渋谷源氏	250	280	B	かやう	斯様	カヨウ	形状詞-一般			カヨー	混
39.02夕霧	OH_OO渋谷源氏	280	290	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	290	310	I	歩き	歩き	アルキ	名詞-普通名詞-一般			アリキ	和
39.02夕霧	OH_OO渋谷源氏	310	320	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	320	350	I	慣らひ	習う	ナラウ	動詞-一般	文語四段-ハ行	連用形-一般	ナライ	和
39.02夕霧	OH_OO渋谷源氏	350	380	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
39.02夕霧	OH_OO渋谷源氏	380	390	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.02夕霧	OH_OO渋谷源氏	390	410	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
39.02夕霧	OH_OO渋谷源氏	410	420	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	420	430	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	430	470	I	をかしう	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	オカシュー	和
39.02夕霧	OH_OO渋谷源氏	470	480	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	480	520	I	心尽くし	心尽くし	ココロヅクシ	名詞-普通名詞-一般			ココロツクシ	和
39.02夕霧	OH_OO渋谷源氏	520	530	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	530	540	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	540	570	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	未然形-一般	オボエ	和
39.02夕霧	OH_OO渋谷源氏	570	590	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
39.02夕霧	OH_OO渋谷源氏	590	600	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	600	610	I	殿	殿	トノ	名詞-普通名詞-一般			トノ	和
39.02夕霧	OH_OO渋谷源氏	610	620	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	620	650	I	おはせ	おわす	オワス	動詞-非自立可能	文語サ行変格	未然形-一般	オワセ	和
39.02夕霧	OH_OO渋谷源氏	650	660	I	ば	ば	バ	助詞-接続助詞			バ	和
39.02夕霧	OH_OO渋谷源氏	660	670	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	670	680	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
39.02夕霧	OH_OO渋谷源氏	680	690	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
39.02夕霧	OH_OO渋谷源氏	690	700	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	700	710	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	710	740	I	かかる	斯かる	カカル	動詞-一般	文語ラ行変格	連体形-一般	カカル	和
39.02夕霧	OH_OO渋谷源氏	740	760	I	濡れ	濡れ	ヌレ	名詞-普通名詞-一般			ヌレ	和
39.02夕霧	OH_OO渋谷源氏	760	770	I	を	を	ヲ	助詞-格助詞			オ	和
39.02夕霧	OH_OO渋谷源氏	770	800	I	あやし	怪しい	アヤシイ	形容詞-一般	文語形容詞-シク	終止形-一般	アヤシ	和
39.02夕霧	OH_OO渋谷源氏	800	810	I	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	810	830	I	咎め	咎める	トガメル	動詞-一般	文語下二段-マ行	連用形-一般	トガメ	和
39.02夕霧	OH_OO渋谷源氏	830	860	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.02夕霧	OH_OO渋谷源氏	860	870	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
39.02夕霧	OH_OO渋谷源氏	870	900	I	べけれ	べし	ベシ	助動詞	文語助動詞-ベシ	已然形-一般	ベケレ	和
39.02夕霧	OH_OO渋谷源氏	900	910	I	ば	ば	バ	助詞-接続助詞			バ	和
39.02夕霧	OH_OO渋谷源氏	910	920	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	920	940	I	六条	ロクジョウ	ロクジョウ	名詞-固有名詞-地名-一般			ロクジョー	固
39.02夕霧	OH_OO渋谷源氏	940	950	I	院	院	イン	名詞-普通名詞-一般			イン	漢
39.02夕霧	OH_OO渋谷源氏	950	960	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	960	970	I	東	東	ヒガシ	名詞-普通名詞-一般			ヒンガシ	和
39.02夕霧	OH_OO渋谷源氏	970	980	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	980	1000	I	御殿	大臣	オトド	名詞-普通名詞-一般			オトド	和
39.02夕霧	OH_OO渋谷源氏	1000	1010	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	1010	1040	I	参うで	詣でる	モウデル	動詞-一般	文語下二段-ダ行	連用形-一般	モーデ	和
39.02夕霧	OH_OO渋谷源氏	1040	1070	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.02夕霧	OH_OO渋谷源氏	1070	1080	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
39.02夕霧	OH_OO渋谷源氏	1080	1090	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	1090	1110	B	まだ	未だ	マダ	副詞			マダ	和
39.02夕霧	OH_OO渋谷源氏	1110	1130	I	朝霧	朝霧	アサギリ	名詞-普通名詞-一般			アサギリ	和
39.02夕霧	OH_OO渋谷源氏	1130	1140	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	1140	1160	I	晴れ	晴れる	ハレル	動詞-一般	文語下二段-ラ行	未然形-一般	ハレ	和
39.02夕霧	OH_OO渋谷源氏	1160	1170	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
39.02夕霧	OH_OO渋谷源氏	1170	1180	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	1180	1210	I	まして	況して	マシテ	副詞			マシテ	和
39.02夕霧	OH_OO渋谷源氏	1210	1240	I	かしこ	彼処	カシコ	代名詞			カシコ	和
39.02夕霧	OH_OO渋谷源氏	1240	1250	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	1250	1260	I	は	は	ハ	助詞-係助詞			ワ	和
39.02夕霧	OH_OO渋谷源氏	1260	1290	I	いかに	如何に	イカニ	副詞			イカニ	和
39.02夕霧	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	1300	1310	I	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	1310	1330	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
39.02夕霧	OH_OO渋谷源氏	1330	1350	I	やる	遣る	ヤル	動詞-非自立可能	文語四段-ラ行	終止形-一般	ヤル	和
39.02夕霧	OH_OO渋谷源氏	1350	1360	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	1360	1370	B	「	「		補助記号-括弧開				記号
39.02夕霧	OH_OO渋谷源氏	1370	1380	I	例	例	レイ	名詞-普通名詞-一般			レー	漢
39.02夕霧	OH_OO渋谷源氏	1380	1400	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
39.02夕霧	OH_OO渋谷源氏	1400	1410	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
39.02夕霧	OH_OO渋谷源氏	1410	1420	I	御	御	オオン	接頭辞			オオン	和
39.02夕霧	OH_OO渋谷源氏	1420	1440	I	歩き	歩き	アルキ	名詞-普通名詞-一般			アリキ	和
39.02夕霧	OH_OO渋谷源氏	1440	1460	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
39.02夕霧	OH_OO渋谷源氏	1460	1480	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
39.02夕霧	OH_OO渋谷源氏	1480	1490	I	」	」		補助記号-括弧閉				記号
39.02夕霧	OH_OO渋谷源氏	1490	1500	B	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	1500	1510	I	，	，		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	1510	1540	I	人びと	人々	ヒトビト	名詞-普通名詞-一般			ヒトビト	和
39.02夕霧	OH_OO渋谷源氏	1540	1550	I	は	は	ハ	助詞-係助詞			ワ	和
39.02夕霧	OH_OO渋谷源氏	1550	1590	I	ささめく	ささめく	ササメク	動詞-一般	文語四段-カ行	終止形-一般	ササメク	和
39.02夕霧	OH_OO渋谷源氏	1590	1600	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	1600	1630	B	しばし	暫し	シバシ	副詞			シバシ	和
39.02夕霧	OH_OO渋谷源氏	1630	1650	I	うち	打ち	ウチ	接頭辞			ウチ	和
39.02夕霧	OH_OO渋谷源氏	1650	1670	I	休み	休む	ヤスム	動詞-一般	文語四段-マ行	連用形-一般	ヤスミ	和
39.02夕霧	OH_OO渋谷源氏	1670	1700	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
39.02夕霧	OH_OO渋谷源氏	1700	1710	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	1710	1720	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	1720	1740	I	御衣	御衣	オンゾ	名詞-普通名詞-一般			オンゾ	和
39.02夕霧	OH_OO渋谷源氏	1740	1760	I	脱ぎ	脱ぐ	ヌグ	動詞-一般	文語四段-ガ行	連用形-一般	ヌギ	和
39.02夕霧	OH_OO渋谷源氏	1760	1780	I	替へ	変える	カエル	動詞-一般	文語下二段-ハ行	連用形-一般	カエ	和
39.02夕霧	OH_OO渋谷源氏	1780	1810	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.02夕霧	OH_OO渋谷源氏	1810	1820	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	1820	1830	B	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
39.02夕霧	OH_OO渋谷源氏	1830	1840	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	1840	1860	I	夏冬	夏冬	ナツフユ	名詞-普通名詞-一般			ナツフユ	和
39.02夕霧	OH_OO渋谷源氏	1860	1870	I	と	と	ト	助詞-格助詞			ト	和
39.02夕霧	OH_OO渋谷源氏	1870	1890	I	いと	いと	イト	副詞			イト	和
39.02夕霧	OH_OO渋谷源氏	1890	1920	I	きよら	清ら	キヨラ	形状詞-一般			キヨラ	和
39.02夕霧	OH_OO渋谷源氏	1920	1930	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
39.02夕霧	OH_OO渋谷源氏	1930	1940	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
39.02夕霧	OH_OO渋谷源氏	1940	1960	I	おき	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
39.02夕霧	OH_OO渋谷源氏	1960	1990	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
39.02夕霧	OH_OO渋谷源氏	1990	2000	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
39.02夕霧	OH_OO渋谷源氏	2000	2010	I	ば	ば	バ	助詞-接続助詞			バ	和
39.02夕霧	OH_OO渋谷源氏	2010	2020	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2020	2030	I	香	香	カ	名詞-普通名詞-一般			カ	和
39.02夕霧	OH_OO渋谷源氏	2030	2040	I	の	の	ノ	助詞-格助詞			ノ	和
39.02夕霧	OH_OO渋谷源氏	2040	2050	I	御	御	オオン	接頭辞			オオン	和
39.02夕霧	OH_OO渋谷源氏	2050	2070	I	唐櫃	唐櫃	カラビツ	名詞-普通名詞-一般			カラビツ	和
39.02夕霧	OH_OO渋谷源氏	2070	2090	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
39.02夕霧	OH_OO渋谷源氏	2090	2110	I	取う	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トー	和
39.02夕霧	OH_OO渋谷源氏	2110	2120	I	出	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
39.02夕霧	OH_OO渋谷源氏	2120	2130	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	2130	2150	I	奉り	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
39.02夕霧	OH_OO渋谷源氏	2150	2180	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.02夕霧	OH_OO渋谷源氏	2180	2190	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	2190	2200	B	御	御	オオン	接頭辞			オオン	和
39.02夕霧	OH_OO渋谷源氏	2200	2210	I	粥	粥	カユ	名詞-普通名詞-一般			カユ	和
39.02夕霧	OH_OO渋谷源氏	2210	2230	I	など	など	ナド	助詞-副助詞			ナド	和
39.02夕霧	OH_OO渋谷源氏	2230	2250	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
39.02夕霧	OH_OO渋谷源氏	2250	2260	I	て	て	テ	助詞-接続助詞			テ	和
39.02夕霧	OH_OO渋谷源氏	2260	2270	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2270	2280	I	御	御	オ	接頭辞			オ	和
39.02夕霧	OH_OO渋谷源氏	2280	2290	I	前	前	マエ	名詞-普通名詞-副詞可能			マエ	和
39.02夕霧	OH_OO渋谷源氏	2290	2300	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	2300	2320	I	参り	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和
39.02夕霧	OH_OO渋谷源氏	2320	2350	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
39.02夕霧	OH_OO渋谷源氏	2350	2360	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	2360	2390	B	かしこ	彼処	カシコ	代名詞			カシコ	和
39.02夕霧	OH_OO渋谷源氏	2390	2400	I	に	に	ニ	助詞-格助詞			ニ	和
39.02夕霧	OH_OO渋谷源氏	2400	2410	I	御	御	オオン	接頭辞			オオン	和
39.02夕霧	OH_OO渋谷源氏	2410	2420	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
39.02夕霧	OH_OO渋谷源氏	2420	2470	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
39.02夕霧	OH_OO渋谷源氏	2470	2500	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
39.02夕霧	OH_OO渋谷源氏	2500	2510	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
39.02夕霧	OH_OO渋谷源氏	2510	2520	I	ど	ど	ド	助詞-接続助詞			ド	和
39.02夕霧	OH_OO渋谷源氏	2520	2530	I	、	、		補助記号-読点				記号
39.02夕霧	OH_OO渋谷源氏	2530	2550	I	御覧	御覧	ゴラン	名詞-普通名詞-一般			ゴラン	漢
39.02夕霧	OH_OO渋谷源氏	2550	2560	I	じ	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	ジ	和
39.02夕霧	OH_OO渋谷源氏	2560	2570	I	も	も	モ	助詞-係助詞			モ	和
39.02夕霧	OH_OO渋谷源氏	2570	2590	I	入れ	入れる	イレル	動詞-一般	文語下二段-ラ行	未然形-一般	イレ	和
39.02夕霧	OH_OO渋谷源氏	2590	2600	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
39.02夕霧	OH_OO渋谷源氏	2600	2610	I	。	。		補助記号-句点				記号
39.02夕霧	OH_OO渋谷源氏	2610	2640	B	にはか	俄か	ニワカ	形状詞-一般			ニワカ	和
39.02夕霧	OH_OO渋谷源氏	2640	2650	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
