39.05夕霧	OH_OO渋谷源氏	250	270	B	六条	ロクジョウ	ロクジョウ	名詞-固有名詞-地名-一般			ロクジョー	固
39.05夕霧	OH_OO渋谷源氏	270	280	I	院	院	イン	名詞-普通名詞-一般			イン	漢
39.05夕霧	OH_OO渋谷源氏	280	290	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	290	300	I	も	も	モ	助詞-係助詞			モ	和
39.05夕霧	OH_OO渋谷源氏	300	350	I	聞こし召し	聞こし召す	キコシメス	動詞-一般	文語四段-サ行	連用形-一般	キコシメシ	和
39.05夕霧	OH_OO渋谷源氏	350	360	I	て	て	テ	助詞-接続助詞			テ	和
39.05夕霧	OH_OO渋谷源氏	360	370	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	370	390	I	いと	いと	イト	副詞			イト	和
39.05夕霧	OH_OO渋谷源氏	390	440	I	おとなしう	大人しい	オトナシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	オトナシュー	和
39.05夕霧	OH_OO渋谷源氏	440	470	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
39.05夕霧	OH_OO渋谷源氏	470	480	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	480	500	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
39.05夕霧	OH_OO渋谷源氏	500	530	I	しづめ	静める	シズメル	動詞-一般	文語下二段-マ行	連用形-一般	シズメ	和
39.05夕霧	OH_OO渋谷源氏	530	540	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	540	550	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
39.05夕霧	OH_OO渋谷源氏	550	560	I	の	の	ノ	助詞-格助詞			ノ	和
39.05夕霧	OH_OO渋谷源氏	560	590	I	そしり	謗り	ソシリ	名詞-普通名詞-一般			ソシリ	和
39.05夕霧	OH_OO渋谷源氏	590	620	I	どころ	所	トコロ	名詞-普通名詞-副詞可能			ドコロ	和
39.05夕霧	OH_OO渋谷源氏	620	640	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
39.05夕霧	OH_OO渋谷源氏	640	650	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	650	690	I	めやすく	目安い	メヤスイ	形容詞-一般	文語形容詞-ク	連用形-一般	メヤスク	和
39.05夕霧	OH_OO渋谷源氏	690	700	I	て	て	テ	助詞-接続助詞			テ	和
39.05夕霧	OH_OO渋谷源氏	700	730	I	過ぐし	過ぐす	スグス	動詞-一般	文語四段-サ行	連用形-一般	スグシ	和
39.05夕霧	OH_OO渋谷源氏	730	760	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
39.05夕霧	OH_OO渋谷源氏	760	770	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	770	780	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	780	840	I	おもだたしう	面立たしい	オモダタシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	オモダタシュー	和
39.05夕霧	OH_OO渋谷源氏	840	850	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	850	860	I	わ	わ	ワ	代名詞			ワ	和
39.05夕霧	OH_OO渋谷源氏	860	870	I	が	が	ガ	助詞-格助詞			ガ	和
39.05夕霧	OH_OO渋谷源氏	870	910	I	いにしへ	古	イニシエ	名詞-普通名詞-一般			イニシエ	和
39.05夕霧	OH_OO渋谷源氏	910	920	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	920	950	I	すこし	少し	スコシ	副詞			スコシ	和
39.05夕霧	OH_OO渋谷源氏	950	980	I	あざれ	戯れる	アザレル	動詞-一般	文語下二段-ラ行	連用形-一般	アザレ	和
39.05夕霧	OH_OO渋谷源氏	980	1000	I	ばみ	ばむ	バム	接尾辞-動詞的	文語四段-マ行	連用形-一般	バミ	和
39.05夕霧	OH_OO渋谷源氏	1000	1010	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1010	1030	I	あだ	徒	アダ	名詞-普通名詞-一般			アダ	和
39.05夕霧	OH_OO渋谷源氏	1030	1050	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
39.05夕霧	OH_OO渋谷源氏	1050	1060	I	名	名	ナ	名詞-普通名詞-一般			ナ	和
39.05夕霧	OH_OO渋谷源氏	1060	1070	I	を	を	ヲ	助詞-格助詞			オ	和
39.05夕霧	OH_OO渋谷源氏	1070	1090	I	取り	取る	トル	動詞-一般	文語四段-ラ行	連用形-一般	トリ	和
39.05夕霧	OH_OO渋谷源氏	1090	1120	I	たまう	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-ウ音便	タモー	和
39.05夕霧	OH_OO渋谷源氏	1120	1130	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
39.05夕霧	OH_OO渋谷源氏	1130	1170	I	面起こし	面起こし	オモテオコシ	名詞-普通名詞-一般			オモテオコシ	和
39.05夕霧	OH_OO渋谷源氏	1170	1180	I	に	に	ニ	助詞-格助詞			ニ	和
39.05夕霧	OH_OO渋谷源氏	1180	1190	I	、	、		補助記号-読点				記号
39.05夕霧	OH_OO渋谷源氏	1190	1230	I	うれしう	嬉しい	ウレシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ウレシュー	和
39.05夕霧	OH_OO渋谷源氏	1230	1250	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
39.05夕霧	OH_OO渋谷源氏	1250	1280	I	わたる	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連体形-一般	ワタル	和
39.05夕霧	OH_OO渋谷源氏	1280	1290	I	を	を	ヲ	助詞-格助詞			オ	和
