44.01竹河	OH_OO渋谷源氏	210	230	B	これ	此れ	コレ	代名詞			コレ	和
44.01竹河	OH_OO渋谷源氏	230	240	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	240	250	I	，	，		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	250	260	I	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固
44.01竹河	OH_OO渋谷源氏	260	270	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢
44.01竹河	OH_OO渋谷源氏	270	280	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	280	290	I	御	御	オオン	接頭辞			オオン	和
44.01竹河	OH_OO渋谷源氏	290	300	I	族	族	ゾク	名詞-普通名詞-一般			ゾー	漢
44.01竹河	OH_OO渋谷源氏	300	310	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	310	320	I	も	も	モ	助詞-係助詞			モ	和
44.01竹河	OH_OO渋谷源氏	320	340	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
44.01竹河	OH_OO渋谷源氏	340	370	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
44.01竹河	OH_OO渋谷源氏	370	380	I	り	り	リ	助動詞	文語助動詞-リ	連用形-一般	リ	和
44.01竹河	OH_OO渋谷源氏	380	390	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
44.01竹河	OH_OO渋谷源氏	390	400	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	400	410	I	後	後	ノチ	名詞-普通名詞-副詞可能			ノチ	和
44.01竹河	OH_OO渋谷源氏	410	420	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	420	440	I	大殿	大殿	オオトノ	名詞-普通名詞-一般			オートノ	和
44.01竹河	OH_OO渋谷源氏	440	470	I	わたり	辺り	ワタリ	名詞-普通名詞-一般			ワタリ	和
44.01竹河	OH_OO渋谷源氏	470	480	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	480	500	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
44.01竹河	OH_OO渋谷源氏	500	520	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
44.01竹河	OH_OO渋谷源氏	520	530	I	悪	悪い	ワルイ	形容詞-一般	文語形容詞-ク	語幹-一般	ワル	和
44.01竹河	OH_OO渋谷源氏	530	550	I	御達	御達	ゴタチ	名詞-普通名詞-一般			ゴタチ	混
44.01竹河	OH_OO渋谷源氏	550	560	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	560	570	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	570	590	I	落ち	落ちる	オチル	動詞-一般	文語上二段-タ行	連用形-一般	オチ	和
44.01竹河	OH_OO渋谷源氏	590	620	I	とまり	止まる	トマル	動詞-一般	文語四段-ラ行	連用形-一般	トマリ	和
44.01竹河	OH_OO渋谷源氏	620	640	I	残れ	残る	ノコル	動詞-一般	文語四段-ラ行	命令形	ノコレ	和
44.01竹河	OH_OO渋谷源氏	640	650	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
44.01竹河	OH_OO渋谷源氏	650	660	I	が	が	ガ	助詞-格助詞			ガ	和
44.01竹河	OH_OO渋谷源氏	660	670	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	670	690	I	問は	問う	トウ	動詞-一般	文語四段-ハ行	未然形-一般	トワ	和
44.01竹河	OH_OO渋谷源氏	690	700	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
44.01竹河	OH_OO渋谷源氏	700	720	I	語り	語り	カタリ	名詞-普通名詞-一般			ガタリ	和
44.01竹河	OH_OO渋谷源氏	720	730	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
44.01竹河	OH_OO渋谷源氏	730	750	I	おき	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
44.01竹河	OH_OO渋谷源氏	750	770	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
44.01竹河	OH_OO渋谷源氏	770	780	I	は	は	ハ	助詞-係助詞			ワ	和
44.01竹河	OH_OO渋谷源氏	780	790	I	、	、		補助記号-読点				記号
44.01竹河	OH_OO渋谷源氏	790	800	I	紫	紫	ムラサキ	名詞-普通名詞-一般			ムラサキ	和
44.01竹河	OH_OO渋谷源氏	800	810	I	の	の	ノ	助詞-格助詞			ノ	和
44.01竹河	OH_OO渋谷源氏	810	840	I	ゆかり	縁	ユカリ	名詞-普通名詞-一般			ユカリ	和
44.01竹河	OH_OO渋谷源氏	840	850	I	に	に	ニ	助詞-格助詞			ニ	和
44.01竹河	OH_OO渋谷源氏	850	860	I	も	も	モ	助詞-係助詞			モ	和
44.01竹河	OH_OO渋谷源氏	860	870	I	似	似る	ニル	動詞-一般	文語上一段-ナ行	未然形-一般	ニ	和
44.01竹河	OH_OO渋谷源氏	870	880	I	ざ	ず	ズ	助動詞	文語助動詞-ズ	連体形-撥音便	ザン	和
