49.07宿木	OH_OO渋谷源氏	310	330	B	宇治	ウジ	ウジ	名詞-固有名詞-地名-一般			ウジ	固
49.07宿木	OH_OO渋谷源氏	330	340	I	の	の	ノ	助詞-格助詞			ノ	和
49.07宿木	OH_OO渋谷源氏	340	350	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
49.07宿木	OH_OO渋谷源氏	350	360	I	を	を	ヲ	助詞-格助詞			オ	和
49.07宿木	OH_OO渋谷源氏	360	390	I	久しく	久しい	ヒサシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ヒサシク	和
49.07宿木	OH_OO渋谷源氏	390	400	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
49.07宿木	OH_OO渋谷源氏	400	430	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
49.07宿木	OH_OO渋谷源氏	430	440	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
49.07宿木	OH_OO渋谷源氏	440	450	I	時	時	トキ	名詞-普通名詞-副詞可能			トキ	和
49.07宿木	OH_OO渋谷源氏	450	460	I	は	は	ハ	助詞-係助詞			ワ	和
49.07宿木	OH_OO渋谷源氏	460	470	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	470	500	I	いとど	いとど	イトド	副詞			イトド	和
49.07宿木	OH_OO渋谷源氏	500	510	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
49.07宿木	OH_OO渋谷源氏	510	530	I	遠く	遠い	トオイ	形容詞-一般	文語形容詞-ク	連用形-一般	トーク	和
49.07宿木	OH_OO渋谷源氏	530	550	I	なる	成る	ナル	動詞-非自立可能	文語四段-ラ行	連体形-一般	ナル	和
49.07宿木	OH_OO渋谷源氏	550	570	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
49.07宿木	OH_OO渋谷源氏	570	580	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
49.07宿木	OH_OO渋谷源氏	580	590	I	て	て	テ	助詞-接続助詞			テ	和
49.07宿木	OH_OO渋谷源氏	590	600	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	600	630	I	すずろ	漫	スズロ	形状詞-一般			スズロ	和
49.07宿木	OH_OO渋谷源氏	630	640	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
49.07宿木	OH_OO渋谷源氏	640	680	I	心細けれ	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	已然形-一般	ココロボソケレ	和
49.07宿木	OH_OO渋谷源氏	680	690	I	ば	ば	バ	助詞-接続助詞			バ	和
49.07宿木	OH_OO渋谷源氏	690	700	I	、	、		補助記号-読点				記号
49.07宿木	OH_OO渋谷源氏	700	720	I	九月	長月	ナガツキ	名詞-普通名詞-一般			ナガツキ	和
49.07宿木	OH_OO渋谷源氏	720	740	I	二十	二十	ニジュウ	名詞-数詞			ニジュー	漢
49.07宿木	OH_OO渋谷源氏	740	750	I	余	余	ヨ	名詞-数詞			ヨ	漢
49.07宿木	OH_OO渋谷源氏	750	760	I	日	日	ニチ	名詞-普通名詞-助数詞可能			ニチ	漢
49.07宿木	OH_OO渋谷源氏	760	790	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
49.07宿木	OH_OO渋谷源氏	790	800	I	に	に	ニ	助詞-格助詞			ニ	和
49.07宿木	OH_OO渋谷源氏	800	830	I	おはし	おわす	オワス	動詞-非自立可能	文語サ行変格	連用形-一般	オワシ	和
49.07宿木	OH_OO渋谷源氏	830	850	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
49.07宿木	OH_OO渋谷源氏	850	860	I	。	。		補助記号-句点				記号
49.07宿木	OH_OO渋谷源氏	860	910	B	いとどしく	いとどしい	イトドシイ	形容詞-一般	文語形容詞-シク	連用形-一般	イトドシク	和
