50.01東屋	OH_OO渋谷源氏	250	270	B	筑波	ツクバ	ツクバ	名詞-固有名詞-地名-一般			ツクバ	固
50.01東屋	OH_OO渋谷源氏	270	280	I	山	山	ヤマ	名詞-普通名詞-一般			ヤマ	和
50.01東屋	OH_OO渋谷源氏	280	290	I	を	を	ヲ	助詞-格助詞			オ	和
50.01東屋	OH_OO渋谷源氏	290	310	I	分け	分ける	ワケル	動詞-一般	文語下二段-カ行	連用形-一般	ワケ	和
50.01東屋	OH_OO渋谷源氏	310	320	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	未然形-一般	ミ	和
50.01東屋	OH_OO渋谷源氏	320	360	I	まほしき	まほし	マホシ	助動詞	文語形容詞-シク	連体形-一般	マホシキ	和
50.01東屋	OH_OO渋谷源氏	360	370	I	御	御	ミ	接頭辞			ミ	和
50.01東屋	OH_OO渋谷源氏	370	380	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
50.01東屋	OH_OO渋谷源氏	380	390	I	は	は	ハ	助詞-係助詞			ワ	和
50.01東屋	OH_OO渋谷源氏	390	410	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
50.01東屋	OH_OO渋谷源氏	410	440	I	ながら	ながら	ナガラ	助詞-接続助詞			ナガラ	和
50.01東屋	OH_OO渋谷源氏	440	450	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	450	470	I	端山	端山	ハヤマ	名詞-普通名詞-一般			ハヤマ	和
50.01東屋	OH_OO渋谷源氏	470	480	I	の	の	ノ	助詞-格助詞			ノ	和
50.01東屋	OH_OO渋谷源氏	480	500	I	繁り	茂り	シゲリ	名詞-普通名詞-一般			シゲリ	和
50.01東屋	OH_OO渋谷源氏	500	520	I	まで	まで	マデ	助詞-副助詞			マデ	和
50.01東屋	OH_OO渋谷源氏	520	560	I	あながち	強ち	アナガチ	形状詞-一般			アナガチ	和
50.01東屋	OH_OO渋谷源氏	560	570	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
50.01東屋	OH_OO渋谷源氏	570	590	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
50.01東屋	OH_OO渋谷源氏	590	610	I	入ら	入る	イル	動詞-一般	文語四段-ラ行	未然形-一般	イラ	和
50.01東屋	OH_OO渋谷源氏	610	620	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
50.01東屋	OH_OO渋谷源氏	620	630	I	も	も	モ	助詞-係助詞			モ	和
50.01東屋	OH_OO渋谷源氏	630	640	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	640	660	I	いと	いと	イト	副詞			イト	和
50.01東屋	OH_OO渋谷源氏	660	690	I	人聞き	人聞き	ヒトギキ	名詞-普通名詞-一般			ヒトギキ	和
50.01東屋	OH_OO渋谷源氏	690	730	I	軽々しう	軽々しい	カルガルシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	カロガロシュー	和
50.01東屋	OH_OO渋谷源氏	730	740	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	740	820	I	かたはらいたかる	傍ら痛い	カタワライタイ	形容詞-一般	文語形容詞-ク	連体形-補助	カタワライタカル	和
50.01東屋	OH_OO渋谷源氏	820	840	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
50.01東屋	OH_OO渋谷源氏	840	860	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
50.01東屋	OH_OO渋谷源氏	860	880	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
50.01東屋	OH_OO渋谷源氏	880	890	I	ば	ば	バ	助詞-接続助詞			バ	和
50.01東屋	OH_OO渋谷源氏	890	900	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	900	920	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
50.01東屋	OH_OO渋谷源氏	920	940	I	憚り	憚る	ハバカル	動詞-一般	文語四段-ラ行	連用形-一般	ハバカリ	和
50.01東屋	OH_OO渋谷源氏	940	950	I	て	て	テ	助詞-接続助詞			テ	和
50.01東屋	OH_OO渋谷源氏	950	960	I	、	、		補助記号-読点				記号
50.01東屋	OH_OO渋谷源氏	960	970	I	御	御	オオン	接頭辞			オオン	和
50.01東屋	OH_OO渋谷源氏	970	990	I	消息	消息	ショウソク	名詞-普通名詞-一般			ショーソコ	漢
50.01東屋	OH_OO渋谷源氏	990	1000	I	を	を	ヲ	助詞-格助詞			オ	和
