51.03浮舟	OH_OO渋谷源氏	380	400	B	二条	ニジョウ	ニジョウ	名詞-固有名詞-地名-一般			ニジョー	固
51.03浮舟	OH_OO渋谷源氏	400	410	I	の	の	ノ	助詞-格助詞			ノ	和
51.03浮舟	OH_OO渋谷源氏	410	420	I	院	院	イン	名詞-普通名詞-一般			イン	漢
51.03浮舟	OH_OO渋谷源氏	420	430	I	に	に	ニ	助詞-格助詞			ニ	和
51.03浮舟	OH_OO渋谷源氏	430	480	I	おはしまし	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連用形-一般	オワシマシ	和
51.03浮舟	OH_OO渋谷源氏	480	500	I	着き	着く	ツク	動詞-一般	文語四段-カ行	連用形-一般	ツキ	和
51.03浮舟	OH_OO渋谷源氏	500	510	I	て	て	テ	助詞-接続助詞			テ	和
51.03浮舟	OH_OO渋谷源氏	510	520	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	520	530	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
51.03浮舟	OH_OO渋谷源氏	530	540	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
51.03浮舟	OH_OO渋谷源氏	540	550	I	の	の	ノ	助詞-格助詞			ノ	和
51.03浮舟	OH_OO渋谷源氏	550	570	I	いと	いと	イト	副詞			イト	和
51.03浮舟	OH_OO渋谷源氏	570	610	I	心憂かり	心憂い	ココロウイ	形容詞-一般	文語形容詞-ク	連用形-補助	ココロウカリ	和
51.03浮舟	OH_OO渋谷源氏	610	620	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
51.03浮舟	OH_OO渋谷源氏	620	630	I	御	御	オオン	接頭辞			オオン	和
51.03浮舟	OH_OO渋谷源氏	630	670	I	もの隠し	物隠し	モノガクシ	名詞-普通名詞-一般			モノガクシ	和
51.03浮舟	OH_OO渋谷源氏	670	680	I	も	も	モ	助詞-係助詞			モ	和
51.03浮舟	OH_OO渋谷源氏	680	720	I	つらけれ	辛い	ツライ	形容詞-一般	文語形容詞-ク	已然形-一般	ツラケレ	和
51.03浮舟	OH_OO渋谷源氏	720	730	I	ば	ば	バ	助詞-接続助詞			バ	和
51.03浮舟	OH_OO渋谷源氏	730	740	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	740	780	I	心やすき	心安い	ココロヤスイ	形容詞-一般	文語形容詞-ク	連体形-一般	ココロヤスキ	和
51.03浮舟	OH_OO渋谷源氏	780	790	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
51.03浮舟	OH_OO渋谷源氏	790	800	I	に	に	ニ	助詞-格助詞			ニ	和
51.03浮舟	OH_OO渋谷源氏	800	850	I	大殿籠もり	大殿籠る	オオトノゴモル	動詞-一般	文語四段-ラ行	連用形-一般	オートノゴモリ	和
51.03浮舟	OH_OO渋谷源氏	850	870	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
51.03浮舟	OH_OO渋谷源氏	870	880	I	に	に	ニ	助詞-接続助詞			ニ	和
51.03浮舟	OH_OO渋谷源氏	880	890	I	、	、		補助記号-読点				記号
51.03浮舟	OH_OO渋谷源氏	890	900	I	寝	寝る	ネル	動詞-一般	文語下二段-ナ行	未然形-一般	ネ	和
51.03浮舟	OH_OO渋谷源氏	900	920	I	られ	られる	ラレル	助動詞	文語下二段-ラ行	連用形-一般	ラレ	和
